id,title,description,rating,price,duration,url
profession-editor,"Профессия Редактор PRO","⚡️Онлайн-курс «Профессия Редактор PRO» от Skillbox для начинающих: станьте редактором с нуля за 9 месяцев. ✅ Вы научитесь редактировать тексты, подбирать форматы и планировать контент под бизнес-задачи. ⭐ 21 задача, помощь в трудоустройстве и доступ к курсу навсегда. Обучение на редактора онлайн с сертификатом и помощь в трудоустройстве!","4.7 из 5 —",N/A,N/A,https://skillbox.ru/course/profession-editor/
662,"Профессия Сценарист","⚡️Онлайн-курс «Сценарист» от Skillbox для начинающих: станьте сценаристом с нуля за 8 месяцев. ✅ Вы научитесь писать сценарии для разных форматов: короткий метр, сериалы, игры . ⭐ 3 сценария в портфолио: кино, игра и сериал. Работа с реальными проектами в командах с наставниками «Видеомастерской». Обучение на сценариста онлайн с сертификатом и помощью в трудоустройстве.",N/A,N/A,N/A,https://skillbox.ru/course/profession-screenwriter/
121,"Профессия Коммерческий иллюстратор","⚡️Онлайн-курс «Коммерческий иллюстратор» от Skillbox для начинающих: станьте иллюстратором с нуля за 9 месяцев. ✅ Вы научитесь создавать продающие иллюстрации для брендов и медиа. ⭐ 10+ проектов в портфолио и конкурсы от компаний-партнеров для вашего успеха. Обучение на коммерческого иллюстратора онлайн с сертификатом и помощь в трудоустройстве!","4.8 из 5",N/A,N/A,https://skillbox.ru/course/profession-commercial-illustrator-2/
3529,"Профессия Специалист покибербезопас­но­сти","⚡️Онлайн-курс «Специалист по кибербезопасности» от Skillbox для начинающих: станьте специалистом по кибербезопасности с нуля за 12 месяцев. ✅ 12 виртуальных машин для тренировки, 2 проекта в портфолио, много практики, обучение без жёстких дедлайнов. ⭐ Обучение на специалиста по кибербезопасности онлайн с сертификатом и помощью в трудоустройстве.","4.8 из 5",N/A,N/A,https://skillbox.ru/course/profession-cybersecurity/
912,"Профессия Разработчик С++  с нуля","⚡️Онлайн-курс «Разработчик на C++» от Skillbox для начинающих: станьте разработчиком на C++ с нуля за 7 месяцев. ✅ Поисковый движок в портфолио, возможность стажировки в СКБ Контур. ⭐ Обучение на разработчика на C++ онлайн без расписаний и дедлайнов с сертификатом и помощью в трудоустройстве.","4.7 из 5",N/A,N/A,https://skillbox.ru/course/profession-c-plus-plus/
paket-data-scientist-0-junior,"Data Scientist с нуля до Junior","⚡️Онлайн-курс «Data Scientist Junior» от Skillbox для начинающих: станьте специалистом по Data Science с нуля за 9 месяцев. ✅ До 9 проектов в портфолио, 2 специализации на выбор, партнёр курса - Yandex Cloud. ⭐ Обучение на дата сайентиста онлайн с сертификатом и помощью в трудоустройстве.",N/A,N/A,N/A,https://skillbox.ru/course/paket-data-scientist-0-junior/
profession-1c-analyst,"Профессия Аналитик 1С","⚡️Онлайн-курс «Аналитик 1C» от Skillbox для начинающих: станьте аналитиком 1C с нуля за 8 месяцев. ✅ Вы научитесь автоматизировать процессы и анализировать данные на базе «1C: Предприятие». ⭐ Сертифицированный курс 1C: стажировка через 2 месяца и 3 проекта в портфолио. Обучение на 1С-аналитика онлайн с сертификатом и помощь в трудоустройстве!",N/A,N/A,N/A,https://skillbox.ru/course/profession-1c-analyst/
773,Python,"⚡️ Онлайн-курс «Python» от Skillbox для начинающих: станьте разработчиком на Python с нуля за 4 месяца. ✅ Вы научитесь основам программирования на Python. ⭐ Живая обратная связь, простое объяснение и крупный проект в портфолио. Обучение на Python-программиста онлайн с сертификатом по окончании.","4.8 из 5",N/A,N/A,https://skillbox.ru/course/python-basic/
4452,"Курс Java-разработчик","⚡️Онлайн-курс «Java» от Skillbox для начинающих: станьте разработчиком на Java с нуля за 4 месяца. ✅ Вы научитесь основам программирования на Java. ⭐ Создай 4 проекта с практикой на 80% и стажировкой в СКБ «Контур». Обучение на джава разработчика онлайн с сертификатом по окончанию.","4.7 из 5",N/A,N/A,https://skillbox.ru/course/java/
python-autotests,"Ав­то­ма­ти­зи­ро­ван­ное тестирование на Python","⚡️Онлайн-курс «Автоматизированное тестирование на Python» от Skillbox для начинающих: станьте автотестером на Python с нуля за 9 месяцев. ✅ Вы научитесь автоматизировать тестирование на Python. ⭐ Обучение без «воды»",N/A,N/A,N/A,https://skillbox.ru/course/python-autotests/
3529,"Пентестер с нуля","Онлайн-курс «Пентестер  с нуля» от Skillbox: научись проводить пентест. Курс ведут: Лев Палей (начальник службы информационной безопасности СО ЕЭС.), Валерий Линьков (инструктор по сертификации компании Cisco уровня CCNP). Обучение на специалиста по пентесту в Москве, Санкт-Петербурге и в любом регионе РФ с сертификатом.",N/A,N/A,N/A,https://skillbox.ru/course/pentester/
1c-analytics-basics,"Основы аналитики 1C","⚡️Онлайн-курс «Основы аналитики 1C» от Skillbox для начинающих: станьте аналитиком 1С с нуля за 2 месяца. ✅ Вы научитесь внедрять и администрировать системы на базе «1С:Предприятие». ⭐ Курс сертифицирован фирмой 1С, партнер курса - WiseAdvice Consulting Group. Обучение на аналитика 1С онлайн с сертификатом по окончанию.",N/A,N/A,N/A,https://skillbox.ru/course/1c-analytics-basics/
paket-data-analyst-0-junior,"Data Analyst с нуля до Junior","⚡️Онлайн-курс «Data Analyst с нуля до Junior» от Skillbox для начинающих: станьте data-аналитиком с нуля за 9 месяцев. ✅ Вы научитесь решать бизнес-задачи с помощью данных. ⭐ Учись у экспертов VK, Сбера, ВТБ и Visa для успешной карьеры. Обучение на аналитика данных онлайн с сертификатом по окончанию.",N/A,N/A,N/A,https://skillbox.ru/course/paket-data-analyst-0-junior/
paket-machine-learning-0-junior,"Machine Learning с нуля до Junior","⚡️Онлайн-курс «Machine Learning с нуля до Junior» от Skillbox для начинающих: станьте ML-инженером с нуля за 9 месяцев. ✅ Вы научитесь работать с данными и создавать первые модели машинного обучения. ⭐ Освой навыки от экспертов Сбера, ЮMoney и Visa с 2 проектами в портфолио. Обучение на инженера машинного обучения онлайн с сертификатом по окончанию.",N/A,N/A,N/A,https://skillbox.ru/course/paket-machine-learning-0-junior/
linux-os-administration,"Администрирова­ние ОС Linux","⚡️Онлайн-курс «Администрирова­ние ОС Linux» от Skillbox для начинающих: станьте Linux-администратором с нуля за 3 месяца. ✅ Вы научитесь работе с ОС Linux и поддерживать серверы в компании. ⭐ Обучение без «воды», 80% курса - практика. Обучение на Linux-администратора онлайн с сертификатом по окончанию.",N/A,N/A,N/A,https://skillbox.ru/course/linux-os-administration/
django-framework,"Python-фреймворк Django","⚡️Онлайн-курс «Django» от Skillbox для начинающих: станьте Python-разработчиком на Django с нуля за 3 месяца. ✅ Вы научитесь программированию на Django. ⭐ Проект в портфолио, спикеры - практикующие веб-разработчики. Обучение на разработчика на Django онлайн с сертификатом по окончанию.",N/A,N/A,N/A,https://skillbox.ru/course/django-framework/
php-developer-base,"PHP-разработчик. Базовый уровень","⚡️Онлайн-курс «PHP-разработчик. Базовый уровень» от Skillbox для начинающих: станьте PHP-разработчиком с нуля за 3 месяца. ✅ Вы научитесь программировать на PHP. ⭐ Экспертная поддержка и проект в портфолио по окончании курса. Обучение на PHP-разработчика онлайн с сертификатом по окончанию.",N/A,N/A,N/A,https://skillbox.ru/course/php-developer-base/
qualitative-research,"Качественные исследования","Онлайн-курс «Качественные исследования» — Skillbox: стань специалистом по качественным исследованиям. Курс ведут: Евгения Кирпиченкова (InDepth MR), Ольга Дунаева (работала с InDeth MR, Magram MR и IPSOS). Обучение на специалиста по качественным исследованиям в Москве, Санкт-Петербурге и в любом регионе РФ с сертификатом.",N/A,N/A,N/A,https://skillbox.ru/course/qualitative-research/
quantitative-research,"Количественные исследования","Онлайн-курс «Количественные исследования» — Skillbox: стань специалистом по количественным исследованиям и решай задачи бизнеса. Курс ведёт: Дарья Тучкова (Validata). Обучение на специалиста по количественным исследованиям с сертификатом в Москве, Санкт-Петербурге и в любом регионе РФ.",N/A,N/A,N/A,https://skillbox.ru/course/quantitative-research/
